BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPID,GROUPMODEL,GROUPNAME,GROUPVEG,COUNT,InOrConus
13460,58,5813460,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,315,315,Longleaf Pine-Pineland Threeawn-Beyrich Threeawn-1,Conifer,10861257,CONUS
13470,58,5813470,Atlantic Coastal Plain Upland Longleaf Pine Woodland,315,315,Longleaf Pine-Pineland Threeawn-Beyrich Threeawn-1,Conifer,36910105,CONUS
13570,58,5813570,Southern Coastal Plain Mesic Slope Forest,323,323,Beech-Cherrybark Oak-Tulip Tree-3,Hardwood,572911,CONUS
13610,58,5813610,Central Atlantic Coastal Plain Maritime Forest,326,326,Live Oak-Wax Myrtle-3,Hardwood,788395,CONUS
13820,58,5813820,Southern Atlantic Coastal Plain Maritime Forest,351,351,Longleaf Pine-Honduras Pine-Sand Live Oak-1,Hardwood-Conifer,558026,CONUS
14260,58,5814260,Southern Atlantic Coastal Plain Dune and Maritime Grassland,381,381,Sea Oats-Saltmeadow Cordgrass-Shore Little Bluestem-2,Grassland,6531,CONUS
14490,58,5814490,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,397,397,Longleaf Pine-Slash Pine-Saw Palmetto-1,Riparian,12697587,CONUS
14500,58,5814500,Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,397,397,Longleaf Pine-Slash Pine-Saw Palmetto-1,Riparian,5090904,CONUS
14520,58,5814520,Atlantic Coastal Plain Peatland Pocosin and Canebrake,398,398,Pond Pine-Swamp Titi-Giant Cane-1,Riparian,4707140,CONUS
14590,58,5814590,Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,403,403,Pond Cypress-1,Riparian,397279,CONUS
14680,58,5814680,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,408,408,Pond Pine-Swamp Tupelo-1,Riparian,1234241,CONUS
14730,58,5814730,Gulf and Atlantic Coastal Plain Floodplain Systems,418,418,Willow Oak-Water Oak-American Elm-3,Riparian,11284607,CONUS
14740,58,5814740,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,421,421,American Sycamore-Sugarberry-Pine-3,Riparian,11273345,CONUS
14800,58,5814800,Gulf and Atlantic Coastal Plain Swamp Systems,427,427,Bald Cypress-Atlantic White Cedar-Red Maple-5,Riparian,805906,CONUS
