Count,BpS_Code_105,Zone_105,BpS_Model_105,BpS_Name_105,GroupVeg_105,LABEL_105,Departure_105,BpS_Code_110,Zone_110,BpS_Model_110,BpS_Name_110,GroupName_110,GroupVeg_110,LABEL_110,Departure_110,BPS_CODE_130,ZONE_130,BPS_MODEL_130,BPS_NAME_130,GROUPNAME_130,GROUPVEG_130,LABEL_130,Departure_130,us_105vdep,us_110vdep,us_130vdep,Parcel ID,fee - protection year,fee - orgname,easement - year,easement - orgname,PROTECTED
4,14800,65,6514800,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,20,20,14800,65,6514800,Gulf and Atlantic Coastal Plain Swamp Systems,Bald Cypress-Atlantic White Cedar-Red Maple-5,Riparian,20,20,14800,65,6514800,Gulf and Atlantic Coastal Plain Swamp Systems,Bald Cypress-Atlantic White Cedar-Red Maple-5,Riparian,18,18,20,20,18,25007_07386,-99,Gund,2001,The Nature Conservancy,YES
2,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,81,81,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,77,77,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,68,68,81,77,68,25007_07386,-99,Gund,2001,The Nature Conservancy,YES
1,14800,65,6514800,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,Urban,Urban,14800,65,6514800,Gulf and Atlantic Coastal Plain Swamp Systems,Bald Cypress-Atlantic White Cedar-Red Maple-5,Riparian,,,14800,65,6514800,Gulf and Atlantic Coastal Plain Swamp Systems,Bald Cypress-Atlantic White Cedar-Red Maple-5,Riparian,Non-burnable Urban,Non-burnable Urban,120,120,120,25007_07386,-99,Gund,2001,The Nature Conservancy,YES
4,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,Urban,Urban,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,,,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,Non-burnable Urban,Non-burnable Urban,120,120,120,25007_07386,-99,Gund,2001,The Nature Conservancy,YES
1,14360,65,6514360,Northern Atlantic Coastal Plain Dune and Swale,Grassland,54,54,14360,65,6514360,Northern Atlantic Coastal Plain Dune and Swale,American Beachgrass-Northern Bayberry-1,Grassland,56,56,14360,65,6514360,Northern Atlantic Coastal Plain Dune and Swale,American Beachgrass-Northern Bayberry-1,Grassland,31,31,54,56,31,25007_07386,-99,Gund,2001,The Nature Conservancy,YES
45,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,Hardwood,60,60,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,White Oak-Black Oak-White Pine-1,Hardwood,65,65,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,White Oak-Black Oak-White Pine-1,Hardwood,71,71,60,65,71,09001_067065,-99,State of Connecticut,2002,The Nature Conservancy,YES
30,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,81,81,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,80,80,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,58,58,81,80,58,09001_067065,-99,State of Connecticut,2002,The Nature Conservancy,YES
31,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,68,68,78,78,68,09001_067065,-99,State of Connecticut,2002,The Nature Conservancy,YES
4,15180,65,6515180,North-Central Interior Wet Flatwoods,Hardwood,84,84,15180,65,6515180,North-Central Interior Wet Flatwoods,Pin Oak-Swamp White Oak-Maple-5,Hardwood,84,84,15180,65,6515180,North-Central Interior Wet Flatwoods,Pin Oak-Swamp White Oak-Maple-5,Hardwood,11,11,84,84,11,09001_067065,-99,State of Connecticut,2002,The Nature Conservancy,YES
11,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Riparian,42,42,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,41,41,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,40,40,42,41,40,09001_067065,-99,State of Connecticut,2002,The Nature Conservancy,YES
